#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
3015,Joe Cavallaro,676860,676860,sa3004599,NYM,RP,RP
3016,Joe Dunand,656388,656388,19727,MIA,SS,SS
3017,Joe Elbis,692544,692544,sa3015216,ARI,SP,SP
3018,Joe Gatto,656450,656450,sa828693,PHI,RP,RP
3019,Joe Gray Jr.,669336,669336,sa3008005,MIL,OF,OF
3020,Joe Harvey,642840,642840,16459,FA,RP,RP
3021,Joe Hudson,621529,14412,14412,TB,C,C
3022,Joe Jacques,682175,682175,sa3007493,PIT,RP,RP
3023,Joe Jimenez,641729,15761,15761,DET,RP,RP
3024,Joe Kelly,523260,9761,9761,CHW,RP,RP
3025,Joe Mantiply,573009,14857,14857,ARI,RP,RP
3026,Joe McCarthy,663411,18399,18399,FA,OF,OF
3027,Joe Musgrove,605397,12970,12970,SD,SP,SP
3028,Joe Palumbo,643478,643478,17035,SF,SP,SP
3029,Joe Panik,605412,11936,11936,FA,2B/3B,1B/2B/ 3B
3030,Joe Perez,669309,669309,22254,HOU,3B,3B
3031,Joe Ross,605452,12972,12972,WSH,SP,SP
3032,Joe Ryan,657746,657746,21390,MIN,SP,SP
3033,Joe Smith,501925,3281,3281,MIN,RP,RP
3034,Joel Booker,664689,664689,sa918497,FA,OF,OF
3035,Joel Cesar,666802,666802,sa917887,PHI,RP,RP
3036,Joel Diaz,699309,699309,sa3015500,NYM,SP,SP
3037,Joel Flores,691646,691646,sa3015575,NYM,OF,OF
3038,Joel Kuhnel,669270,669270,19995,CIN,RP,RP
3039,Joel Mendez,693795,693795,sa3015682,NYY,OF,OF
3040,Joel Payamps,606303,606303,14332,KC,RP,RP
3041,Joel Peguero,666711,666711,sa917689,TB,RP,RP
3042,Joel Seddon,607080,607080,sa599194,FA,RP,RP
3043,Joel Valdez,683638,683638,sa3011397,NYY,SP,SP
3044,Joely Rodriguez,570257,11487,11487,NYM,RP,RP
3045,Joey Bart,663698,663698,21524,SF,C,C
3046,Joey Cantillo,676282,676282,sa3005246,CLE,SP,SP
3047,Joey Curletta,621575,15035,sa658025,FA,OF,OF
3048,Joey Gallo,608336,14128,14128,NYY,OF,OF
3049,Joey Gerber,680702,680702,24591,SEA,RP,RP
3050,Joey Krehbiel,607216,607216,13707,BAL,RP,RP
3051,Joey Lucchesi,664192,664192,19320,NYM,SP,SP
3052,Joey Marciano,664006,664006,sa3004637,SF,RP,RP
3053,Joey Murray,680765,680765,sa3007234,TOR,SP,SP
3054,Joey Rickard,572073,13277,13277,FA,OF,OF
3055,Joey Roach,664171,664171,sa918726,FA,C,C
3056,Joey Votto,458015,4314,4314,CIN,1B,1B
3057,Joey Wendle,621563,13853,13853,MIA,SS/3B,2B/SS/ 3B
3058,Joey Wentz,666214,666214,19962,DET,SP,SP
3059,Johan Belisario,591611,591611,sa546553,FA,SP,SP
3060,Johan Camargo,622666,622666,14950,PHI,1B/SS/ 3B,1B/SS/ 3B
3061,Johan Cruz,642711,642711,sa736621,FA,SS,SS
3062,Johan Dominguez,667339,667339,sa916727,CHW,SP,SP
3063,Johan Lopez,672517,672517,sa3003228,TB,3B,3B
3064,Johan Mieses,644407,644407,sa747574,BOS,OF,OF
3065,Johan Oviedo,670912,670912,22487,STL,SP,SP
3066,Johan Quezada,629498,629498,20643,FA,RP,RP
3067,Johan Rojas,679032,679032,sa3005784,PHI,OF,OF
3068,Johendi Jiminian,593977,593977,sa550714,FA,SP,SP
3069,John Andreoli,607430,13012,13012,PHI,OF,OF
