Season,Name,Team,Level,Age,IP,ERA,G,GS,SV,BS,HLD,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,xFIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2022,"Nick Ramirez","SEA","AAA",32,16,1.6875,15,0,2,0,,64,14,4,3,1,4,0,1,0,1,13,7.3125,2.25,3.25,0.5625,0.203125,0.0625,0.140625,0.23728814,1.125,0.28888889,0.85227273,4.026486587524414,-2.3389865875244142,4.4057161647826435,2.4,0.22727273,0.54545455,0.22727273,0.1,0.1,0.47826087,0.2826087,0.23913043,0.15510204,87,158,245,"12575"
2022,"Adam Morgan","HOU","AAA",32,8.2,3.1153834726687677,9,0,0,1,,35,8,5,3,1,1,0,1,0,0,10,10.384611575562559,1.038461157556256,10,1.038461157556256,0.28571429,0.02857143,0.25714286,0.24242424,1.038461157556256,0.31818182,0.58139535,3.7861020144626076,-0.6707185417938399,3.8261832996022838,1.57142857,0.18181818,0.5,0.31818182,0.14285714,0.14285714,0.43478261,0.34782609,0.2173913,0.13333333,43,92,135,"12580"
2022,"Mike Wright Jr.","LAD","AAA",32,25.1,4.618421632167117,8,5,0,0,,117,29,15,13,1,15,0,0,1,0,21,7.460527251962267,5.328948037115905,1.4,0.35526320247439364,0.17948718,0.12820513,0.05128205,0.28431373,1.7368423232081467,0.35,0.68075117,4.533065614145558,0.08535601802155934,5.6757847490967155,1.95454545,0.1875,0.5375,0.275,0.31818182,0.04545455,0.4375,0.2,0.3625,0.08677686,190,294,484,"12586"
2022,"Jerad Eickhoff","PIT","AAA",31,26.1,4.784810704196339,8,2,0,0,,105,20,14,14,5,5,0,3,1,0,32,10.936710181020203,1.7088609657844067,6.4,1.7088609657844067,0.3047619,0.04761905,0.25714285,0.20618557,0.9493672032135593,0.25,0.66666667,4.417056431271421,0.3677542729249179,3.736647158923986,0.72413793,0.23076923,0.32307692,0.44615385,0.24137931,0.17241379,0.46153846,0.27692308,0.26153846,0.15189873,132,263,395,"12664"
2022,"Roenis Elias","SEA","AAA",33,15.2,4.021275779789908,12,1,0,1,,70,18,7,7,0,5,0,0,1,0,12,6.893615622496986,2.8723398427070777,2.4,0,0.17142857,0.07142857,0.1,0.27692308,1.4680848084947284,0.33962264,0.69565217,3.327018618982999,0.6942571608069095,5.517772120737414,1.22222222,0.24528302,0.41509434,0.33962264,0.11111111,0,0.43396226,0.20754717,0.35849057,0.11290323,95,153,248,"12673"
2022,"Sam Gaviglio","LAD","AAA",32,30.2,5.576086378503221,8,3,0,0,,141,38,25,19,7,10,0,4,1,0,31,9.097825143873676,2.9347823044753794,3.1,2.054347613132766,0.21985816,0.07092199,0.14893617,0.2992126,1.5652172290535358,0.34831461,0.63981043,6.216703738832769,-0.6406173603295482,4.43067933099371,2.63157895,0.25806452,0.53763441,0.20430108,0.10526316,0.36842105,0.59183673,0.2244898,0.18367347,0.11787072,197,329,526,"12778"
2022,"Mike Clevinger","SDP","A",31,2,0,1,1,0,0,,7,1,0,0,0,0,0,0,0,0,5,22.5,0,5,0,0.71428571,0,0.71428571,0.14285714,0.5,0.5,1,-1.0942538261413572,1.0942538261413572,-1.0942538261413572,1,0.5,0.5,0,0,0,0,1,0,0.29032258,7,24,31,"12808"
2022,"Mike Clevinger","SDP","AAA",31,6.2,2.6999987125402867,2,2,0,0,,28,7,2,2,1,2,0,0,0,0,10,13.499993562701434,2.6999987125402867,5,1.3499993562701433,0.35714286,0.07142857,0.28571429,0.26923077,1.3499993562701433,0.4,0.92105263,3.751486659049954,-1.0514879465096674,3.231562399679035,1.2,0.3125,0.375,0.3125,0.6,0.2,0.3125,0.375,0.3125,0.14782609,40,75,115,"12808"
2022,"Shawn Armstrong","TBR","AAA",31,4,4.5,4,0,0,0,,15,3,2,2,0,0,0,0,0,0,6,13.5,0,6,0,0.4,0,0.4,0.2,0.75,0.33333333,0.33333333,0.4676892280578615,4.0323107719421385,0.8735733486711981,6,0.22222222,0.66666667,0.11111111,0,0,0.33333333,0.11111111,0.55555556,0.20408163,11,38,49,"12857"
2022,"Alex Claudio","NYM","AAA",30,13.2,1.9756092965639402,9,0,2,0,,58,11,8,3,2,4,0,0,0,0,13,8.560973618443741,2.6341457287519203,3.25,1.3170728643759602,0.22413793,0.06896552,0.15517241,0.2037037,1.0975607203133,0.23076923,0.57377049,4.345737804308502,-2.370128507744562,3.868843119341248,1.41666667,0.21621622,0.45945946,0.32432432,0.33333333,0.16666667,0.46341463,0.12195122,0.41463415,0.13824885,74,143,217,"12890"
