Season,Name,Team,PA,HR,SB,K%,BB%,BABIP,ISO,HR/FB,FB%,wRC+,SwStr%,O-Swing%,Swing%,Contact%,maxEV,Barrel%,playerid,seasonct,seasonid
2006,Jose Reyes,NYM,703,19,64,11.50%,7.50%,0.32,0.187,10.20%,33.90%,116,6.70%,27.90%,47.40%,85.60%,,,1736,1,1736s1
2006,Austin Kearns,- - -,629,24,9,21.50%,12.10%,0.308,0.203,15.40%,38.40%,114,11.60%,17.70%,44.90%,74.10%,,,332,1,332s1
2006,Mike Piazza,SDP,439,22,0,15.00%,7.70%,0.29,0.218,17.10%,38.50%,121,8.30%,21.70%,45.90%,81.90%,,,893,1,893s1
2006,Frank Catalanotto,TOR,499,7,1,7.40%,10.40%,0.312,0.14,5.10%,33.70%,113,2.80%,21.40%,40.00%,93.00%,,,1241,1,1241s1
2006,Edwin Encarnacion,CIN,467,15,6,16.70%,8.80%,0.307,0.197,12.10%,37.50%,111,8.90%,20.60%,45.50%,80.20%,,,2151,1,2151s1
2006,Milton Bradley,OAK,405,14,10,16.00%,12.60%,0.304,0.171,14.90%,33.00%,117,6.70%,17.90%,44.00%,84.70%,,,369,1,369s1
2006,Wily Mo Pena,BOS,304,11,0,29.60%,6.60%,0.4,0.188,14.70%,39.30%,111,19.70%,35.00%,55.10%,64.10%,,,344,1,344s1
2006,Kevin Youkilis,BOS,680,13,5,17.60%,13.40%,0.327,0.149,6.30%,45.00%,111,5.50%,14.70%,36.30%,84.90%,,,1935,1,1935s1
2006,Robb Quinlan,LAA,244,9,2,11.50%,2.90%,0.333,0.171,14.30%,30.40%,115,7.40%,24.90%,48.00%,84.50%,,,1779,1,1779s1
2006,Mike Napoli,LAA,325,16,2,27.70%,15.70%,0.276,0.228,17.20%,52.20%,115,12.30%,20.50%,39.20%,68.50%,,,3057,1,3057s1
2006,Jeff DaVanon,ARI,256,5,10,16.40%,12.10%,0.331,0.158,9.80%,28.70%,108,6.40%,13.70%,40.70%,84.20%,,,1440,1,1440s1
2006,Richie Sexson,SEA,663,34,1,23.20%,9.70%,0.3,0.24,19.30%,39.90%,117,14.10%,21.30%,47.00%,69.70%,,,709,1,709s1
2006,Kevin Millar,BAL,503,15,1,14.70%,11.70%,0.297,0.165,9.90%,42.50%,113,6.50%,20.00%,43.90%,85.20%,,,529,1,529s1
2006,Casey Blake,CLE,456,19,6,20.40%,9.90%,0.32,0.197,16.70%,36.70%,114,6.90%,18.30%,40.80%,82.80%,,,719,1,719s1
2006,Mike Lamb,HOU,422,12,2,13.00%,8.30%,0.329,0.168,9.20%,39.30%,112,8.00%,23.90%,48.50%,83.30%,,,1258,1,1258s1
2006,Carl Crawford,TBD,653,18,58,13.00%,5.70%,0.331,0.177,12.00%,29.50%,114,8.30%,30.90%,53.30%,84.30%,,,1201,1,1201s1
2006,Magglio Ordonez,DET,646,24,1,13.50%,7.00%,0.315,0.179,12.50%,37.60%,113,8.10%,23.00%,51.50%,84.20%,,,248,1,248s1
2006,Rafael Furcal,LAD,736,15,37,13.30%,9.90%,0.333,0.145,9.60%,29.20%,113,5.20%,18.80%,40.80%,87.30%,,,88,1,88s1
2006,Gregg Zaun,TOR,339,12,0,12.40%,12.10%,0.278,0.19,11.20%,42.30%,111,4.40%,15.00%,38.40%,88.40%,,,580,1,580s1
2006,Corey Koskie,MIL,289,12,1,20.10%,10.00%,0.294,0.23,17.10%,35.40%,111,9.70%,18.80%,42.70%,77.00%,,,738,1,738s1
2006,Pablo Ozuna,CHW,203,2,6,7.90%,3.40%,0.351,0.116,3.80%,31.90%,108,6.10%,30.70%,50.10%,87.80%,,,1469,1,1469s1
2006,Prince Fielder,MIL,648,28,7,19.30%,9.10%,0.297,0.213,15.70%,39.40%,110,11.00%,27.80%,47.00%,76.40%,,,4613,1,4613s1
2006,Matt Murton,CHC,508,13,5,12.20%,8.90%,0.319,0.147,13.50%,24.30%,107,7.30%,21.90%,44.60%,83.60%,,,6307,1,6307s1
2006,Tim Salmon,LAA,244,9,0,18.00%,11.90%,0.296,0.185,11.70%,45.80%,112,11.40%,18.40%,45.40%,74.80%,,,32,1,32s1
2006,Mark DeRosa,TEX,572,13,4,17.80%,7.70%,0.346,0.16,10.70%,28.80%,107,9.10%,22.10%,45.80%,80.00%,,,1392,1,1392s1
2006,Conor Jackson,ARI,556,15,1,13.10%,9.70%,0.312,0.151,8.70%,41.10%,105,4.50%,16.50%,37.10%,87.80%,,,5997,1,5997s1
2006,Ross Gload,CHW,167,3,6,9.00%,3.60%,0.345,0.135,7.70%,27.50%,107,7.00%,23.60%,54.10%,87.00%,,,1538,1,1538s1
