idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa918192-AAA-TOR,Samad Taylor,TOR,23,AAA,56,0.149,0.214,0.064,0.107,0.854,0.459,0.362,0.429,0.426,2,0,8,2,0.216,0.541,0.243,18,2022-06-01
sa918318-AAA-TBR,Miles Mastrobuoni,TBR,26,AAA,63,0.382,0.238,0.182,0.111,0.854,0.351,0.291,0.381,0.473,4,3,4,0,0.324,0.378,0.297,18,2022-06-01
sa918888-AAA-CHC,Zach Davis,CHC,28,AAA,22,0.0,0.182,0.0,0.227,0.853,0.462,0.353,0.5,0.353,0,0,4,0,0.154,0.615,0.231,18,2022-06-01
sa873990-AAA-OAK,Vince Fernandez,OAK,26,AAA,30,0.23,0.3,0.138,0.033,0.849,0.474,0.345,0.367,0.483,2,1,0,0,0.211,0.211,0.474,18,2022-06-01
19477-AAA-HOU,Alex De Goti,HOU,27,AAA,63,0.675,0.159,0.214,0.095,0.849,0.304,0.286,0.349,0.5,8,2,0,0,0.348,0.304,0.348,18,2022-06-01
19872-AAA-CHC,Greg Deichmann,CHC,27,AAA,36,0.364,0.25,0.182,0.083,0.846,0.391,0.303,0.361,0.485,4,1,2,1,0.304,0.435,0.304,18,2022-06-01
sa3011255-AAA-NYM,Jake Mangum,NYM,26,AAA,33,0.399,0.121,0.097,0.03,0.846,0.407,0.355,0.394,0.452,3,0,2,0,0.185,0.593,0.222,18,2022-06-01
14477-AAA-MIN,Jake Cave,MIN,29,AAA,67,0.523,0.239,0.25,0.045,0.845,0.318,0.281,0.313,0.531,7,4,1,0,0.25,0.5,0.273,18,2022-06-01
19953-AAA-TBR,Josh Lowe,TBR,24,AAA,52,0.237,0.308,0.146,0.058,0.845,0.471,0.333,0.365,0.479,7,0,1,1,0.412,0.441,0.176,18,2022-06-01
20572-AAA-DET,Kody Clemens,DET,26,AAA,197,0.463,0.264,0.245,0.051,0.842,0.344,0.283,0.315,0.527,23,8,3,1,0.375,0.414,0.203,18,2022-06-01
sa875808-AAA-COL,Jonathan Morales,COL,27,AAA,28,0.56,0.214,0.24,0.036,0.841,0.3,0.28,0.321,0.52,4,1,0,0,0.4,0.3,0.35,18,2022-06-01
sa873960-AAA-LAD,Ryan Noda,LAD,26,AAA,46,0.265,0.283,0.15,0.109,0.841,0.423,0.3,0.391,0.45,4,1,2,0,0.269,0.462,0.308,18,2022-06-01
11602-AAA-BOS,Yolmer Sanchez,BOS,30,AAA,62,0.358,0.274,0.196,0.177,0.838,0.344,0.255,0.387,0.451,5,2,1,0,0.375,0.375,0.25,18,2022-06-01
18083-AAA-OAK,Austin Allen,OAK,28,AAA,34,0.523,0.147,0.154,0.176,0.835,0.273,0.269,0.412,0.423,2,1,0,0,0.364,0.455,0.182,18,2022-06-01
sa876363-AAA-OAK,Dalton Kelly,OAK,27,AAA,41,0.331,0.293,0.194,0.244,0.834,0.333,0.226,0.415,0.419,3,1,0,1,0.278,0.333,0.333,18,2022-06-01
19260-AAA-CIN,Jake Fraley,CIN,27,AAA,12,0.45,0.333,0.3,0.167,0.833,0.2,0.2,0.333,0.5,1,1,0,0,0.6,0.4,0.0,18,2022-06-01
sa875089-AAA-LAA,Brendon Davis,LAA,24,AAA,18,0.562,0.222,0.25,0.056,0.833,0.333,0.25,0.333,0.5,3,0,0,1,0.25,0.333,0.417,18,2022-06-01
19873-AAA-ARI,Drew Ellis,ARI,26,AAA,48,0.632,0.208,0.263,0.188,0.828,0.214,0.211,0.354,0.474,5,2,0,0,0.429,0.429,0.143,18,2022-06-01
sa3008306-AAA-TEX,Steele Walker,TEX,25,AAA,43,0.484,0.14,0.135,0.07,0.828,0.355,0.297,0.395,0.432,5,0,0,3,0.484,0.226,0.323,18,2022-06-01
sa3006218-AAA-BOS,Ryan Fitzgerald,BOS,28,AAA,70,0.365,0.243,0.177,0.029,0.827,0.362,0.306,0.343,0.484,6,2,1,1,0.426,0.277,0.298,18,2022-06-01
sa3006896-AAA-LAD,Miguel Vargas,LAD,22,AAA,64,0.571,0.203,0.232,0.094,0.826,0.275,0.25,0.344,0.482,6,3,2,0,0.475,0.275,0.25,18,2022-06-01
20437-AAA-MIN,Royce Lewis,MIN,23,AAA,46,0.305,0.261,0.159,0.022,0.825,0.4,0.318,0.348,0.477,3,2,4,1,0.167,0.567,0.3,18,2022-06-01
