idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa3017046-A-MIL,Zack Raabe,MIL,22,A,43,0.279,0.163,0.091,0.163,0.836,0.357,0.303,0.442,0.394,3,0,2,0,0.393,0.25,0.321,18,2022-06-01
sa3010015-A-LAD,Julio Carrion,LAD,23,A,51,0.425,0.294,0.25,0.098,0.833,0.286,0.25,0.333,0.5,5,3,1,0,0.464,0.429,0.179,18,2022-06-01
sa3018245-A-LAD,Gaige Howard,LAD,24,A,26,0.591,0.077,0.091,0.154,0.832,0.35,0.318,0.423,0.409,2,0,1,0,0.1,0.5,0.4,18,2022-06-01
sa3017333-A-PIT,Luke Brown,PIT,23,A,27,0.135,0.185,0.05,0.222,0.831,0.4,0.3,0.481,0.35,1,0,2,0,0.333,0.533,0.133,18,2022-06-01
sa3016823-A-CIN,Blake Dunn,CIN,23,A,49,0.347,0.265,0.184,0.184,0.829,0.333,0.237,0.408,0.421,4,1,9,0,0.292,0.458,0.292,18,2022-06-01
sa3015014-A-COL,AJ Lewis,COL,24,A,11,0.611,0.273,0.333,0.091,0.828,0.143,0.222,0.273,0.556,1,1,0,1,0.714,0.286,0.0,18,2022-06-01
sa3008469-A-CHC,Juan Mora,CHC,22,A,43,0.415,0.163,0.135,0.093,0.828,0.345,0.297,0.395,0.432,3,1,0,0,0.241,0.517,0.241,18,2022-06-01
sa3014691-A-MIA,Ian Lewis,MIA,19,A,59,0.405,0.186,0.151,0.068,0.828,0.356,0.321,0.356,0.472,5,1,1,0,0.222,0.467,0.311,18,2022-06-01
sa3017863-A-PHI,Hao Yu Lee,PHI,19,A,69,0.77,0.159,0.246,0.13,0.822,0.205,0.228,0.348,0.474,6,4,1,2,0.364,0.455,0.182,18,2022-06-01
sa3003238-A-TEX,Yenci Pena,TEX,21,A,17,0.34,0.294,0.2,0.118,0.82,0.333,0.267,0.353,0.467,1,1,1,0,0.444,0.333,0.333,18,2022-06-01
sa3005790-A-KCR,Edgar Martinez,KCR,21,A,17,0.243,0.412,0.2,0.118,0.82,0.5,0.267,0.353,0.467,2,0,2,0,0.5,0.25,0.25,18,2022-06-01
sa3017331-A-TBR,Dru Baker,TBR,22,A,47,0.104,0.234,0.049,0.106,0.816,0.467,0.341,0.426,0.39,2,0,8,1,0.3,0.6,0.1,18,2022-06-01
sa3007291-A-SFG,Abdiel Layer,SFG,23,A,17,0.392,0.294,0.231,0.118,0.814,0.222,0.231,0.353,0.462,1,1,1,1,0.333,0.556,0.111,18,2022-06-01
sa3005555-A-CLE,Victor Planchart,CLE,21,A,49,0.106,0.224,0.048,0.122,0.81,0.452,0.333,0.429,0.381,1,0,0,0,0.258,0.355,0.387,18,2022-06-01
sa3015648-A-COL,Yanquiel Fernandez,COL,19,A,56,0.476,0.214,0.204,0.107,0.809,0.316,0.265,0.339,0.469,8,1,1,1,0.368,0.474,0.158,18,2022-06-01
sa3010707-A-MIN,Kyle Schmidt,MIN,24,A,26,0.7,0.192,0.269,0.0,0.808,0.263,0.269,0.269,0.538,3,2,0,0,0.579,0.158,0.263,18,2022-06-01
sa829844-A-SFG,Riley Mahan,SFG,26,A,30,0.139,0.267,0.074,0.067,0.807,0.474,0.333,0.4,0.407,2,0,1,0,0.211,0.526,0.263,18,2022-06-01
sa3007975-A-CHC,Ezequiel Pagan,CHC,21,A,47,0.914,0.085,0.156,0.021,0.807,0.308,0.311,0.34,0.467,3,2,1,1,0.462,0.359,0.179,18,2022-06-01
sa3014831-A-SEA,Brett Rodriguez,SEA,24,A,45,0.134,0.356,0.095,0.067,0.806,0.538,0.333,0.378,0.429,4,0,8,1,0.423,0.385,0.115,18,2022-06-01
sa3005775-A-WSN,Viandel Pena,WSN,21,A,46,0.295,0.304,0.179,0.152,0.805,0.4,0.256,0.37,0.436,4,0,4,0,0.44,0.44,0.08,18,2022-06-01
sa3017053-A-CIN,Ruben Ibarra,CIN,23,A,45,0.189,0.311,0.118,0.178,0.805,0.381,0.265,0.422,0.382,2,1,1,0,0.238,0.571,0.286,18,2022-06-01
sa3014837-A-ARI,Sheng-Ping Chen,ARI,21,A,62,0.297,0.29,0.172,0.048,0.804,0.41,0.293,0.339,0.466,8,1,1,1,0.205,0.564,0.282,18,2022-06-01
sa3017512-A-MIN,Noah Miller,MIN,19,A,64,0.327,0.219,0.143,0.125,0.804,0.366,0.286,0.375,0.429,5,1,4,1,0.293,0.439,0.268,18,2022-06-01
sa3004880-A-OAK,Kevin Richards,OAK,22,A,43,0.537,0.209,0.225,0.047,0.802,0.29,0.275,0.302,0.5,4,2,0,2,0.484,0.419,0.065,18,2022-06-01
sa3010043-A-CHW,DJ Gladney,CHW,20,A,56,0.513,0.214,0.22,0.089,0.801,0.27,0.26,0.321,0.48,5,3,6,0,0.486,0.432,0.081,18,2022-06-01
sa3008949-A-BAL,Michael Mantecon,BAL,20,A,13,0.271,0.154,0.083,0.077,0.801,0.4,0.333,0.385,0.417,1,0,0,0,0.5,0.2,0.3,18,2022-06-01
sa3016862-A-LAA,Myles Emmerson,LAA,24,A,40,0.343,0.125,0.086,0.1,0.8,0.367,0.314,0.4,0.4,3,0,1,0,0.3,0.5,0.233,18,2022-06-01
sa3005551-A-TOR,Rainer Nunez,TOR,21,A,55,0.417,0.218,0.182,0.0,0.8,0.366,0.309,0.309,0.491,5,2,0,0,0.268,0.439,0.317,18,2022-06-01
sa3014460-A-CLE,Isaiah Greene,CLE,20,A,60,0.295,0.217,0.128,0.217,0.8,0.353,0.255,0.417,0.383,4,0,2,0,0.206,0.559,0.206,18,2022-06-01
sa3011153-A-WSN,Allan Berrios,WSN,24,A,32,0.464,0.188,0.174,0.094,0.798,0.25,0.217,0.406,0.391,2,1,0,0,0.438,0.25,0.375,18,2022-06-01
sa3008824-A-COL,Aiverson Rodriguez,COL,20,A,28,0.448,0.179,0.16,0.107,0.797,0.35,0.28,0.357,0.44,3,0,0,0,0.2,0.6,0.15,18,2022-06-01
sa1169878-A-ATL,Brandon Parker,ATL,23,A,19,0.407,0.263,0.214,0.158,0.797,0.2,0.214,0.368,0.429,1,1,0,0,0.3,0.4,0.3,18,2022-06-01
sa3007874-A-ARI,Wilderd Patino,ARI,20,A,63,0.396,0.143,0.113,0.095,0.796,0.333,0.302,0.381,0.415,4,1,10,1,0.267,0.578,0.156,18,2022-06-01
sa3010706-A-MIN,Keoni Cavaco,MIN,21,A,59,0.298,0.305,0.182,0.051,0.795,0.395,0.291,0.322,0.473,6,1,0,0,0.395,0.395,0.211,18,2022-06-01
sa918963-A-TOR,Chavez Young,TOR,24,A,20,0.333,0.25,0.167,0.05,0.794,0.333,0.278,0.35,0.444,1,1,1,0,0.25,0.333,0.5,18,2022-06-01
sa3008784-A-BAL,Isaac De Leon,BAL,20,A,57,0.323,0.263,0.17,0.158,0.794,0.312,0.255,0.368,0.426,4,2,0,0,0.406,0.438,0.156,18,2022-06-01
sa3010886-A-TEX,Daniel Mateo,TEX,20,A,42,0.299,0.214,0.128,0.071,0.793,0.379,0.308,0.357,0.436,2,1,1,1,0.31,0.448,0.241,18,2022-06-01
sa3002846-A-LAD,Luis Yanel Diaz,LAD,22,A,48,0.186,0.188,0.07,0.104,0.791,0.412,0.326,0.396,0.395,3,0,4,1,0.235,0.618,0.147,18,2022-06-01
sa3014690-A-MIA,Jose Salas,MIA,19,A,53,0.487,0.189,0.184,0.019,0.79,0.325,0.286,0.321,0.469,5,1,2,0,0.225,0.5,0.325,18,2022-06-01
sa3010154-A-KCR,Darryl Collins,KCR,20,A,40,0.536,0.175,0.188,0.15,0.788,0.296,0.25,0.35,0.438,5,0,1,0,0.481,0.37,0.148,18,2022-06-01
sa3016819-A-SDP,Max Ferguson,SDP,22,A,74,0.267,0.23,0.123,0.216,0.787,0.333,0.246,0.419,0.368,4,1,8,0,0.308,0.385,0.282,18,2022-06-01
sa3017337-A-BOS,Niko Kavadas,BOS,23,A,57,0.401,0.298,0.239,0.123,0.786,0.259,0.196,0.351,0.435,6,2,0,1,0.63,0.111,0.333,18,2022-06-01
sa3014702-A-CHC,Reginald Preciado,CHC,19,A,45,0.262,0.333,0.175,0.067,0.783,0.391,0.275,0.333,0.45,3,2,1,0,0.304,0.435,0.261,18,2022-06-01
sa3005481-A-CLE,Wilfri Peralta,CLE,21,A,28,0.202,0.286,0.115,0.071,0.78,0.444,0.308,0.357,0.423,2,0,0,1,0.167,0.5,0.333,18,2022-06-01
sa3005629-A-ARI,Juan Batista,ARI,21,A,29,0.134,0.448,0.12,0.069,0.779,0.583,0.28,0.379,0.4,2,0,2,1,0.0,0.667,0.25,18,2022-06-01
