idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa3010845-AA-CHC,Chase Strumpf,CHC,24,AA,62,0.355,0.306,0.217,0.21,0.854,0.32,0.217,0.419,0.435,5,2,0,0,0.48,0.36,0.16,18,2022-06-01
sa3006735-AA-STL,Justin Toerner,STL,25,AA,28,0.0,0.214,0.0,0.25,0.852,0.462,0.316,0.536,0.316,0,0,1,0,0.308,0.077,0.615,18,2022-06-01
sa3010403-AA-CHC,Bryce Windham,CHC,25,AA,37,0.809,0.135,0.219,0.108,0.851,0.28,0.281,0.351,0.5,3,2,0,0,0.36,0.4,0.2,18,2022-06-01
sa738445-AA-MIA,Luis Aviles Jr.,MIA,27,AA,33,0.5,0.303,0.303,0.0,0.848,0.333,0.273,0.273,0.576,6,2,2,0,0.429,0.429,0.238,18,2022-06-01
sa3010039-AA-CLE,Will Brennan,CLE,24,AA,36,1.455,0.083,0.242,0.083,0.848,0.276,0.273,0.333,0.515,5,1,2,0,0.448,0.448,0.103,18,2022-06-01
sa3006936-AA-CLE,Daniel Schneemann,CLE,25,AA,54,0.445,0.241,0.214,0.167,0.847,0.273,0.262,0.37,0.476,4,2,2,0,0.545,0.303,0.121,18,2022-06-01
sa914314-AA-ARI,Jeison Guzman,ARI,23,AA,26,0.451,0.231,0.208,0.038,0.846,0.353,0.292,0.346,0.5,3,1,1,0,0.294,0.471,0.235,18,2022-06-01
sa3004264-AA-LAA,Livan Soto,LAA,22,AA,60,0.28,0.117,0.065,0.2,0.841,0.333,0.326,0.45,0.391,1,1,3,1,0.31,0.548,0.143,18,2022-06-01
sa3006911-AA-DET,Eric De La Rosa,DET,25,AA,25,0.362,0.24,0.174,0.04,0.838,0.412,0.304,0.36,0.478,3,0,2,2,0.294,0.412,0.294,18,2022-06-01
sa829529-AA-LAD,Jeren Kendall,LAD,26,AA,33,0.773,0.242,0.375,0.0,0.836,0.227,0.219,0.242,0.594,6,2,1,1,0.591,0.364,0.045,18,2022-06-01
sa3017372-AA-MIA,Paul McIntosh,MIA,24,AA,40,0.682,0.2,0.273,0.1,0.835,0.217,0.212,0.35,0.485,5,2,2,1,0.304,0.522,0.174,18,2022-06-01
sa3010593-AA-ARI,Corbin Carroll,ARI,21,AA,58,0.453,0.293,0.265,0.138,0.835,0.3,0.224,0.345,0.49,6,2,6,0,0.333,0.533,0.167,18,2022-06-01
sa3011587-AA-HOU,Luke Berryhill,HOU,24,AA,75,0.329,0.293,0.193,0.173,0.834,0.333,0.228,0.413,0.421,7,2,0,0,0.394,0.303,0.303,18,2022-06-01
sa3008280-AA-MIN,Michael Helman,MIN,26,AA,56,0.375,0.25,0.188,0.143,0.833,0.344,0.271,0.375,0.458,5,2,2,0,0.312,0.438,0.25,18,2022-06-01
sa3014942-AA-WSN,Brady Lindsly,WSN,24,AA,34,0.293,0.294,0.172,0.088,0.831,0.389,0.276,0.382,0.448,3,1,0,0,0.222,0.389,0.444,18,2022-06-01
sa918471-AA-CIN,Chuckie Robinson,CIN,27,AA,45,0.241,0.311,0.15,0.111,0.828,0.44,0.3,0.378,0.45,4,1,1,2,0.12,0.68,0.2,18,2022-06-01
sa917039-AA-KCR,Seuly Matias,KCR,23,AA,48,0.453,0.333,0.302,0.083,0.827,0.269,0.233,0.292,0.535,6,3,0,0,0.462,0.346,0.192,18,2022-06-01
