idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Pull%,Cent%,Oppo%,Date,hmm
sa3014939-A-PHI,Chris Burke,PHI,20,A,16,85,0.375,0.083,0.183,0.125,0.583,0.333,0.167,0.333,0.25,0.0,0,1,0,0,0,0.0,0.667,0.333,0.0,0.667,0.333,2022-06-03,0.12618033595437397
sa3014940-AA-SFG,Robert Emery,SFG,25,AA,89,100,0.247,0.147,0.144,0.09,0.71,0.288,0.227,0.337,0.373,0.091,2,3,1,0,2,0.407,0.407,0.185,0.407,0.407,0.185,2022-06-03,0.21860458305801633
sa3014941-AA-SFG,Brett Auerbach,SFG,23,AA,150,96,0.287,0.177,0.121,0.133,0.712,0.262,0.215,0.32,0.392,0.194,7,2,0,3,4,0.414,0.391,0.195,0.414,0.391,0.195,2022-06-03,0.2383280956849691
sa3014943-A+-ARI,Danny Oriente,ARI,24,A+,96,122,0.135,0.05,0.094,0.125,0.721,0.328,0.275,0.396,0.325,0.0,0,4,0,5,2,0.292,0.554,0.154,0.292,0.554,0.154,2022-06-03,0.12334725882349908
sa3014948-AA-HOU,Shay Whitcomb,HOU,23,AA,187,47,0.326,0.142,0.151,0.075,0.599,0.267,0.195,0.262,0.337,0.125,5,9,0,5,0,0.374,0.449,0.178,0.374,0.449,0.178,2022-06-03,0.19315797150627026
sa3014975-A+-NYY,Blane Abeyta,NYY,23,A+,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,2022-06-03,0.0
sa3014985-A-OAK,Cooper Uhl,OAK,24,A,33,51,0.333,0.115,0.127,0.152,0.512,0.143,0.115,0.281,0.231,0.333,1,0,0,0,1,0.2,0.733,0.067,0.2,0.733,0.067,2022-06-03,0.13852420722743208
sa3014986-AA-HOU,Justin Dirden,HOU,24,AA,192,123,0.25,0.222,0.155,0.099,0.896,0.379,0.299,0.375,0.521,0.113,6,17,1,1,1,0.442,0.308,0.25,0.442,0.308,0.25,2022-06-03,0.3288821992725687
sa3015015-A+-CIN,Alex McGarry,CIN,24,A+,140,170,0.364,0.366,0.221,0.043,1.0,0.4,0.298,0.336,0.664,0.379,11,9,3,4,3,0.367,0.329,0.304,0.367,0.329,0.304,2022-06-03,0.4496265701524456
sa3015057-A-CHC,Jacob Wetzel,CHC,22,A,131,97,0.26,0.094,0.099,0.153,0.653,0.292,0.208,0.351,0.302,0.05,1,5,1,8,0,0.282,0.465,0.254,0.282,0.465,0.254,2022-06-03,0.15186465045226605
sa3015071-A+-STL,Tommy Jew,STL,24,A+,146,50,0.329,0.086,0.187,0.116,0.512,0.244,0.164,0.262,0.25,0.057,2,5,0,11,3,0.455,0.429,0.117,0.455,0.429,0.117,2022-06-03,0.12241281414556547
sa3015076-A+-NYM,Brandon McIlwain,NYM,24,A+,129,126,0.225,0.152,0.179,0.062,0.817,0.362,0.286,0.38,0.438,0.111,3,4,2,8,4,0.325,0.47,0.205,0.325,0.47,0.205,2022-06-03,0.2510592990101165
sa3015088-A-CLE,Joe Donovan,CLE,23,A,85,67,0.282,0.12,0.141,0.071,0.577,0.255,0.187,0.271,0.307,0.056,1,4,1,1,0,0.383,0.426,0.191,0.383,0.426,0.191,2022-06-03,0.17200709617316204
sa3015090-AA-TOR,Zac Cook,TOR,24,AA,132,119,0.432,0.223,0.192,0.083,0.767,0.325,0.184,0.359,0.408,0.231,6,5,0,3,0,0.565,0.283,0.152,0.565,0.283,0.152,2022-06-03,0.27453225565778105
sa3015097-AA-CHC,Bradlee Beesley,CHC,24,AA,14,130,0.286,0.5,0.179,0.071,0.952,0.0,0.167,0.286,0.667,0.4,2,0,0,0,0,0.714,0.286,0.0,0.714,0.286,0.0,2022-06-03,0.5
sa3015107-A+-BAL,TT Bowens,BAL,24,A+,159,130,0.308,0.16,0.14,0.176,0.821,0.392,0.256,0.405,0.416,0.158,3,9,1,2,1,0.25,0.461,0.289,0.25,0.461,0.289,2022-06-03,0.24529915762643292
