idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
sa3010689-AA-DET,Kerry Carpenter,DET,24,AA,171,198,0.298,0.386,0.127,0.07,1.129,0.407,0.34,0.404,0.725,0.405,17,8,0,1,1,0.416,0.327,0.257,2022-06-01
sa3010702-AA-ATL,Cade Bunnell,ATL,25,AA,8,129,0.25,0.125,0.242,0.0,0.875,0.5,0.375,0.375,0.5,0.0,0,1,0,0,0,0.333,0.667,0.0,2022-06-01
sa3010708-AA-PHI,Sal Gozzo,PHI,24,AA,61,-12,0.426,0.054,0.155,0.033,0.334,0.233,0.125,0.155,0.179,0.0,0,3,0,0,0,0.333,0.5,0.167,2022-06-01
sa3010710-AA-PIT,Andres Alvarez,PIT,25,AA,105,164,0.267,0.353,0.115,0.152,1.004,0.288,0.271,0.381,0.624,0.286,8,4,1,6,0,0.475,0.39,0.136,2022-06-01
sa3010712-AA-PHI,Vito Friscia,PHI,25,AA,135,133,0.259,0.24,0.096,0.215,0.843,0.242,0.21,0.393,0.45,0.171,6,4,1,0,0,0.53,0.258,0.212,2022-06-01
sa3010845-AA-CHC,Chase Strumpf,CHC,24,AA,179,122,0.358,0.234,0.136,0.173,0.827,0.319,0.213,0.38,0.447,0.211,8,7,1,0,0,0.5,0.303,0.197,2022-06-01
sa3010848-AA-BAL,Maverick Handley,BAL,24,AA,96,99,0.177,0.123,0.104,0.115,0.702,0.27,0.235,0.344,0.358,0.08,2,4,0,0,0,0.385,0.431,0.185,2022-06-01
sa3010853-AA-NYM,Branden Fryman,NYM,24,AA,25,-41,0.28,0.0,0.241,0.0,0.24,0.167,0.12,0.12,0.12,0.0,0,0,0,0,0,0.389,0.444,0.167,2022-06-01
sa3010868-AA-NYY,Anthony Volpe,NYY,21,AA,183,89,0.24,0.17,0.108,0.126,0.684,0.241,0.203,0.311,0.373,0.104,5,9,1,18,2,0.444,0.398,0.157,2022-06-01
sa3010869-AA-NYM,Brett Baty,NYM,22,AA,152,112,0.316,0.159,0.136,0.118,0.758,0.37,0.25,0.349,0.409,0.136,3,12,0,0,1,0.272,0.457,0.272,2022-06-01
sa3011156-AA-CIN,James Free,CIN,24,AA,52,113,0.192,0.125,0.078,0.058,0.803,0.361,0.312,0.365,0.438,0.2,2,0,0,0,0,0.263,0.605,0.132,2022-06-01
sa3011255-AA-NYM,Jake Mangum,NYM,26,AA,134,112,0.224,0.125,0.104,0.082,0.762,0.371,0.283,0.353,0.408,0.034,1,4,4,6,2,0.326,0.438,0.236,2022-06-01
sa3011257-AA-SFG,Tyler Fitzgerald,SFG,24,AA,174,92,0.362,0.185,0.18,0.086,0.687,0.278,0.192,0.31,0.377,0.12,6,7,1,4,0,0.595,0.214,0.19,2022-06-01
sa3011308-AA-MIL,Thomas Dillard,MIL,24,AA,178,90,0.32,0.131,0.174,0.169,0.692,0.318,0.207,0.354,0.338,0.079,3,10,0,4,0,0.442,0.384,0.174,2022-06-01
sa3011379-AA-TOR,Philip Clarke,TOR,24,AA,111,104,0.18,0.117,0.104,0.117,0.724,0.288,0.255,0.351,0.372,0.103,3,2,0,0,0,0.392,0.365,0.243,2022-06-01
sa3011540-AA-LAD,Michael Busch,LAD,24,AA,137,173,0.263,0.361,0.123,0.175,1.112,0.355,0.306,0.445,0.667,0.367,11,6,0,1,0,0.411,0.315,0.274,2022-06-01
sa3011587-AA-HOU,Luke Berryhill,HOU,24,AA,183,122,0.29,0.179,0.132,0.164,0.839,0.364,0.255,0.404,0.434,0.179,5,11,0,1,1,0.315,0.449,0.236,2022-06-01
sa3014426-AA-MIA,Hayden Cantrelle,MIA,23,AA,110,76,0.364,0.152,0.138,0.127,0.649,0.286,0.185,0.312,0.337,0.125,3,5,0,6,4,0.49,0.306,0.204,2022-06-01
sa3014438-AA-MIL,Garrett Mitchell,MIL,23,AA,124,83,0.323,0.121,0.146,0.105,0.676,0.338,0.224,0.331,0.346,0.133,2,3,2,6,1,0.234,0.594,0.172,2022-06-01
sa3014464-AA-STL,Jordan Walker,STL,20,AA,188,137,0.234,0.186,0.153,0.133,0.92,0.409,0.314,0.42,0.5,0.16,4,13,2,11,3,0.225,0.505,0.27,2022-06-01
sa3014468-AA-LAD,Carson Taylor,LAD,23,AA,97,100,0.186,0.123,0.101,0.124,0.754,0.306,0.259,0.371,0.383,0.167,2,4,0,0,0,0.194,0.484,0.323,2022-06-01
sa3014499-AA-BAL,Jordan Westburg,BAL,23,AA,189,121,0.28,0.229,0.123,0.122,0.815,0.314,0.247,0.339,0.476,0.222,8,14,0,3,0,0.321,0.438,0.241,2022-06-01
sa3014506-AA-STL,Masyn Winn,STL,20,AA,30,149,0.167,0.385,0.055,0.1,1.059,0.3,0.308,0.367,0.692,0.5,2,4,0,1,0,0.19,0.476,0.333,2022-06-01
sa3014510-AA-PIT,Nick Gonzales,PIT,23,AA,186,111,0.328,0.13,0.171,0.134,0.742,0.374,0.247,0.366,0.377,0.091,4,8,0,4,1,0.468,0.351,0.181,2022-06-01
sa3014511-AA-KCR,Nick Loftin,KCR,23,AA,194,97,0.113,0.148,0.075,0.072,0.785,0.301,0.29,0.347,0.438,0.094,5,8,1,7,1,0.368,0.41,0.222,2022-06-01
sa3014527-AA-TEX,Justin Foscue,TEX,23,AA,125,133,0.16,0.231,0.072,0.152,0.919,0.329,0.288,0.4,0.519,0.088,3,13,1,1,1,0.41,0.349,0.241,2022-06-01
sa3014531-AA-MIL,Joey Wiemer,MIL,23,AA,196,137,0.296,0.29,0.186,0.092,0.931,0.358,0.284,0.357,0.574,0.218,12,15,0,12,1,0.478,0.383,0.139,2022-06-01
sa3014532-AA-ATL,Jesse Franklin V,ATL,23,AA,66,92,0.273,0.164,0.137,0.091,0.733,0.297,0.236,0.333,0.4,0.167,2,1,1,2,0,0.324,0.541,0.135,2022-06-01
sa3014547-AA-SEA,Zach DeLoach,SEA,23,AA,176,85,0.307,0.136,0.158,0.114,0.725,0.364,0.253,0.335,0.39,0.083,3,8,2,1,0,0.356,0.426,0.218,2022-06-01
sa3014827-AA-NYY,Elijah Dunham,NYY,24,AA,153,135,0.203,0.263,0.129,0.085,0.88,0.296,0.271,0.346,0.534,0.14,7,8,3,11,2,0.481,0.346,0.173,2022-06-01
sa3014832-AA-SEA,Matt Scheffler,SEA,24,AA,79,100,0.165,0.017,0.065,0.215,0.684,0.312,0.25,0.418,0.267,0.0,0,1,0,1,0,0.348,0.37,0.283,2022-06-01
sa3014878-AA-MIL,Noah Campbell,MIL,23,AA,67,71,0.299,0.086,0.126,0.119,0.629,0.342,0.224,0.318,0.31,0.0,0,5,0,2,1,0.395,0.421,0.184,2022-06-01
sa3014885-AA-OAK,William Simoneit,OAK,25,AA,110,77,0.227,0.098,0.099,0.091,0.662,0.294,0.228,0.336,0.326,0.056,1,6,0,1,0,0.265,0.485,0.25,2022-06-01
sa3014886-AA-BAL,J.D. Mundy,BAL,24,AA,118,78,0.271,0.13,0.123,0.068,0.649,0.307,0.231,0.288,0.361,0.08,2,8,0,0,0,0.325,0.481,0.195,2022-06-01
sa3014888-AA-BAL,Dylan Harris,BAL,25,AA,63,158,0.238,0.211,0.111,0.095,0.941,0.425,0.333,0.397,0.544,0.222,2,6,0,2,0,0.214,0.405,0.381,2022-06-01
sa3014940-AA-SFG,Robert Emery,SFG,25,AA,89,100,0.247,0.147,0.144,0.09,0.71,0.288,0.227,0.337,0.373,0.091,2,3,1,0,2,0.407,0.407,0.185,2022-06-01
sa3014986-AA-HOU,Justin Dirden,HOU,24,AA,183,129,0.246,0.234,0.156,0.104,0.92,0.382,0.304,0.383,0.538,0.115,6,17,1,1,1,0.456,0.298,0.246,2022-06-01
sa3015137-AA-CHW,Yoelqui Cespedes,CHW,24,AA,154,83,0.279,0.189,0.198,0.019,0.725,0.313,0.257,0.279,0.446,0.189,7,7,0,5,2,0.349,0.5,0.151,2022-06-01
sa3016853-AA-LAA,Zach Humphreys,LAA,24,AA,114,152,0.175,0.217,0.075,0.184,0.952,0.338,0.304,0.43,0.522,0.2,5,3,1,6,1,0.347,0.514,0.139,2022-06-01
sa3016916-AA-LAA,Bryce Teodosio,LAA,23,AA,154,96,0.364,0.2,0.176,0.13,0.739,0.299,0.208,0.331,0.408,0.318,7,5,0,10,3,0.306,0.444,0.25,2022-06-01
sa3017042-AA-PIT,Henry Davis,PIT,22,AA,8,235,0.0,0.6,0.091,0.125,1.3,0.0,0.2,0.5,0.8,1.0,1,0,0,0,0,0.2,0.6,0.2,2022-06-01
sa3017341-AA-PHI,Freylin Minyety,PHI,22,AA,70,52,0.143,0.017,0.092,0.129,0.494,0.208,0.172,0.304,0.19,0.0,0,1,0,0,0,0.34,0.489,0.17,2022-06-01
sa3018219-AA-SDP,Wyatt Hoffman,SDP,23,AA,6,55,0.333,0.0,0.185,0.167,0.533,0.333,0.2,0.333,0.2,0.0,0,0,0,0,0,0.667,0.0,0.333,2022-06-01
sa506550-AA-MIL,Andy Otero,MIL,30,AA,1,-100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,2022-06-01
