Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Juniel Querecuto","CIN","AAA",29,68,239,262,67,41,19,2,5,29,20,20,0,41,1,2,2,8,6,2,0.28033473,262,0.07633588,0.15648855,0.48780488,0.28033473,0.33587786,0.43933054,0.7752084,0.15899581,5.053334025584087,0.31794872,-0.14296878781169653,35.724786802216386,1.881809397621966,0.34189625118524974,105.56041324356555,0.31794872,1.32352941,0.20603015,0.45226131,0.34170854,0.11764706,0.07352941,0.40298507,0.22885572,0.3681592,0.09990485,382,669,1051,"12140"
"Eddie Rosario","ATL","AAA",30,8,33,37,9,7,2,0,0,4,5,4,0,11,0,0,0,1,0,0,0.27272727,37,0.10810811,0.2972973,0.36363636,0.27272727,0.35135135,0.33333333,0.68468468,0.06060606,1.440934080357143,0.40909091,-0.07783029740676284,4.305834161960515,-0.47351760891732325,0.3181780528377842,90.09243027887962,0.40909091,1.5,0.31818182,0.40909091,0.27272727,0.5,0,0.40909091,0.27272727,0.31818182,0.2,42,93,135,"12155"
"Ben Gamel","PIT","AAA",30,8,31,35,7,5,1,0,1,8,3,2,0,6,2,0,0,0,0,0,0.22580645,35,0.05714286,0.17142857,0.33333333,0.22580645,0.31428571,0.35483871,0.66912442,0.12903226,2.642857142857143,0.25,-0.06367933424189687,3.746774140490912,-0.7742342914205564,0.307110641683851,82.87474347635285,0.25,0.9,0.24,0.36,0.4,0.2,0.1,0.4,0.2,0.4,0.144,44,81,125,"12160"
"Miguel Sano","MIN","CPX",29,5,16,19,5,2,1,0,2,3,4,3,0,2,0,0,0,0,1,0,0.3125,19,0.15789474,0.10526316,1.5,0.3125,0.42105263,0.75,1.17105263,0.4375,4.495440592790132,0.25,0.1964031484676525,5.14952937821392,2.607888828315773,0.5166319891026145,202.6065164257896,0.25,0.71428571,0.14285714,0.35714286,0.5,0.14285714,0.28571429,0.71428571,0.14285714,0.14285714,0.225,17,23,40,"12164"
"Miguel Sano","MIN","AAA",29,7,23,26,8,3,2,0,3,5,7,3,0,10,0,0,0,0,0,0,0.34782609,26,0.11538462,0.38461538,0.3,0.34782609,0.42307692,0.82608696,1.24916388,0.47826087,1.080357142857143,0.5,-0.04245288949459791,7.349568316943099,3.9911049103802934,0.5155919446394994,218.83723081755892,0.5,1,0.53846154,0.23076923,0.23076923,0,1,0.42857143,0.28571429,0.28571429,0.15315315,45,66,111,"12164"
"Jorge Bonifacio","PHI","AAA",29,84,287,336,71,46,14,0,11,36,44,38,0,90,8,3,3,1,8,2,0.24738676,336,0.11309524,0.26785714,0.42222222,0.24738676,0.34821429,0.41114983,0.75936412,0.16376307,3.6786591716700636,0.31746032,0.04476677067577839,45.82823351742737,2.4265525710772735,0.3419430270081475,105.59091841183938,0.31746032,0.5046729,0.17857143,0.2755102,0.54591837,0.24299065,0.10280374,0.475,0.22,0.305,0.12764406,526,845,1371,"12174"
"Jake Hager","ARI","AAA",29,44,157,187,37,22,14,0,1,20,20,24,0,39,2,4,4,4,5,1,0.23566879,187,0.12834225,0.20855615,0.61538462,0.23566879,0.3368984,0.34394904,0.68084744,0.10828025,4.271026717657646,0.29752066,0.27979231625795364,20.622838983682822,-6.840792541952896,0.31209956197177663,75.09144944809134,0.29752066,0.95918367,0.20661157,0.38842975,0.40495868,0.16326531,0.02040816,0.44628099,0.28099174,0.27272727,0.08991826,289,445,734,"12198"
"Scott Schebler","COL","AAA",31,57,214,238,52,35,5,5,7,32,28,17,0,69,4,3,3,5,3,0,0.24299065,238,0.07142857,0.28991597,0.24637681,0.24299065,0.30672269,0.41121495,0.71793764,0.1682243,6.879649669950697,0.31914894,0.362754013389349,26.177604984571637,-8.776107866237458,0.3117842180889194,74.89220128432133,0.31914894,1.30769231,0.17808219,0.46575342,0.35616438,0.23076923,0.13461538,0.40268456,0.25503356,0.34228188,0.17945824,318,568,886,"12225"
"Cory Spangenberg","STL","AAA",31,74,266,294,58,35,11,2,10,39,32,24,0,97,2,2,2,4,10,2,0.21804511,294,0.08163265,0.32993197,0.24742268,0.21804511,0.28571429,0.38721805,0.67293234,0.16917294,6.719816666005088,0.29813665,0.6641067056916654,29.2461956895391,-8.730275138517237,0.2981198797015106,77.01135743222494,0.29813665,1.46153846,0.23809524,0.45238095,0.30952381,0.19230769,0.19230769,0.45614035,0.24561404,0.29824561,0.15052817,384,752,1136,"12294"
"Tommy La Stella","SFG","AAA",33,12,38,48,12,8,2,0,2,8,7,9,0,7,1,0,0,2,0,0,0.31578947,48,0.1875,0.14583333,1.28571429,0.31578947,0.45833333,0.52631579,0.98464912,0.21052632,1.491541330357143,0.34482759,-0.07625764142721891,10.761940269009724,3.7124519629641926,0.4348691962659359,152.66271538858288,0.34482759,1,0.29032258,0.35483871,0.35483871,0.18181818,0.18181818,0.51612903,0.29032258,0.19354839,0.04188482,85,106,191,"12371"
"Beau Taylor","OAK","AAA",32,4,14,17,4,4,0,0,0,3,1,2,0,5,1,0,0,0,0,0,0.28571429,17,0.11764706,0.29411765,0.4,0.28571429,0.41176471,0.28571429,0.697479,0,2.642857142857143,0.44444444,-0.029655749443918467,2.4062257942172964,-0.09046798084049618,0.345786732785842,96.3764887090167,0.44444444,7,0.11111111,0.77777778,0.11111111,1,0,0.44444444,0,0.55555556,0.08333333,23,37,60,"12384"
