idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa3004942-A+-STL,Francisco Hernandez,STL,22,A+,54,0.309,0.259,0.16,0.056,0.639,0.27,0.22,0.259,0.38,6,1,3,0,0.486,0.459,0.054,18,2022-06-01
sa3003325-A+-HOU,Nerio Rodriguez,HOU,22,A+,34,0.101,0.176,0.036,0.118,0.639,0.292,0.25,0.353,0.286,1,0,0,0,0.375,0.375,0.167,18,2022-06-01
sa917135-A+-CHW,Moises Castillo,CHW,22,A+,24,0.126,0.208,0.053,0.208,0.638,0.286,0.211,0.375,0.263,1,0,0,0,0.429,0.357,0.214,18,2022-06-01
sa3018099-A+-CHW,Oscar Colas,CHW,23,A+,50,0.385,0.26,0.2,0.1,0.638,0.2,0.178,0.26,0.378,4,2,0,1,0.267,0.533,0.2,18,2022-06-01
sa3014697-A-OAK,Robert Puason,OAK,19,A,46,0.091,0.391,0.071,0.043,0.638,0.423,0.262,0.304,0.333,3,0,1,1,0.231,0.462,0.269,18,2022-06-01
19818-AAA-WSN,Josh Palacios,WSN,26,AAA,40,0.312,0.15,0.094,0.125,0.638,0.25,0.219,0.325,0.312,2,0,1,0,0.357,0.536,0.143,18,2022-06-01
sa3016919-A+-STL,Mack Chambers,STL,22,A+,56,0.223,0.143,0.064,0.125,0.637,0.282,0.234,0.339,0.298,3,0,0,1,0.308,0.513,0.179,18,2022-06-01
sa3014885-AA-OAK,William Simoneit,OAK,25,AA,31,0.0,0.258,0.0,0.129,0.637,0.333,0.25,0.387,0.25,0,0,0,0,0.222,0.5,0.389,18,2022-06-01
sa3010339-AA-STL,Pedro Pages,STL,23,AA,48,0.203,0.333,0.135,0.167,0.637,0.231,0.189,0.312,0.324,3,1,0,0,0.5,0.269,0.269,18,2022-06-01
sa3003305-AAA-NYY,Oswald Peraza,NYY,22,AAA,52,0.265,0.269,0.143,0.058,0.637,0.273,0.224,0.269,0.367,3,2,4,0,0.515,0.364,0.121,18,2022-06-01
sa185525-AA-CLE,Eric Rodriguez,CLE,23,AA,11,0.5,0.091,0.091,0.0,0.636,0.3,0.273,0.273,0.364,1,0,0,0,0.1,0.6,0.3,18,2022-06-01
sa3017327-A+-LAA,Mike Peabody,LAA,23,A+,48,0.142,0.271,0.077,0.146,0.636,0.308,0.205,0.354,0.282,3,0,1,1,0.269,0.654,0.115,18,2022-06-01
sa3011265-AA-HOU,Bryan Arias,HOU,25,AA,61,0.147,0.328,0.096,0.115,0.636,0.323,0.212,0.328,0.308,3,1,2,1,0.29,0.452,0.258,18,2022-06-01
sa3016975-A+-DET,Ben Malgeri,DET,22,A+,63,0.165,0.286,0.094,0.111,0.635,0.314,0.208,0.333,0.302,4,0,1,0,0.229,0.543,0.229,18,2022-06-01
sa857840-AAA-COL,Kyle Holder,COL,28,AAA,19,0.0,0.211,0.0,0.158,0.635,0.308,0.267,0.368,0.267,0,0,0,0,0.308,0.615,0.077,18,2022-06-01
23559-AAA-TEX,Ryan Dorow,TEX,26,AAA,42,0.065,0.214,0.028,0.119,0.635,0.333,0.25,0.357,0.278,1,0,0,0,0.407,0.444,0.148,18,2022-06-01
sa3007973-A+-MIA,Will Banfield,MIA,22,A+,49,0.355,0.184,0.13,0.041,0.635,0.263,0.239,0.265,0.37,4,1,0,0,0.368,0.526,0.105,18,2022-06-01
sa3011469-A+-BOS,Stephen Scott,BOS,25,A+,37,0.638,0.108,0.138,0.189,0.635,0.185,0.172,0.324,0.31,3,0,0,0,0.296,0.444,0.259,18,2022-06-01
sa3016852-A-SFG,Max Wright,SFG,24,A,26,0.065,0.385,0.05,0.231,0.635,0.4,0.2,0.385,0.25,1,0,0,0,0.6,0.4,0.0,18,2022-06-01
sa3003218-A-MIN,Daniel Ozoria,MIN,21,A,34,0.11,0.471,0.103,0.147,0.634,0.462,0.207,0.324,0.31,3,0,2,1,0.538,0.231,0.231,18,2022-06-01
sa3005484-A-NYY,Roberto Chirinos,NYY,21,A,30,0.15,0.333,0.1,0.0,0.633,0.4,0.267,0.267,0.367,2,0,0,0,0.25,0.5,0.25,18,2022-06-01
sa918639-AA-TOR,Ryan Gold,TOR,24,AA,24,0.3,0.167,0.1,0.125,0.633,0.25,0.2,0.333,0.3,2,0,0,0,0.562,0.188,0.25,18,2022-06-01
sa3007869-AA-BAL,Cody Roberts,BAL,26,AA,30,0.185,0.3,0.111,0.1,0.633,0.294,0.222,0.3,0.333,1,1,0,0,0.294,0.412,0.176,18,2022-06-01
sa1170052-A+-NYM,Tanner Murphy,NYM,24,A+,10,0.139,0.4,0.111,0.0,0.633,0.4,0.222,0.3,0.333,1,0,0,0,0.2,0.6,0.2,18,2022-06-01
sa3004060-A+-MIA,Marcus Chiu,MIA,25,A+,35,0.051,0.314,0.032,0.0,0.633,0.4,0.258,0.343,0.29,1,0,0,0,0.25,0.55,0.25,18,2022-06-01
sa3017757-A-MIN,Jake Rucker,MIN,22,A,65,0.209,0.262,0.109,0.123,0.632,0.289,0.2,0.323,0.309,5,0,4,2,0.316,0.474,0.211,18,2022-06-01
sa3005181-A+-PHI,D.J. Stewart,PHI,23,A+,37,0.257,0.324,0.167,0.027,0.632,0.304,0.222,0.243,0.389,3,1,2,0,0.174,0.696,0.087,18,2022-06-01
sa3004390-AAA-MIA,Demetrius Sims,MIA,26,AAA,29,0.047,0.379,0.036,0.0,0.632,0.471,0.286,0.31,0.321,1,0,1,0,0.412,0.412,0.059,18,2022-06-01
